"","run_id","region","rc","rd","ld","hd","lc","hc","foii","wh1","wh2","wh3","wh4","wl1","wl2","wl3","wl4","dd1","dd2","dr1","dr2","bd1","bd2","bd3","bd4","bd5","bd6","bd7","br","wv1","wv2","wv3","wv4","cfr1","cfr2","cfr3","cfr4","cfr5","cfr6","ve"
"27",27,"hyper",0.204567469,0.626571803,0.939547363,0.941250137,0.225666896,0.883020306,7.79e-07,0.015897766,0.004526076,0.00984151,0.000879529,0.003161309,0.00052087,0.000908922,0.000546388,0.001913354,-1.1e-07,0.00189337,-1.04e-07,0.033745271,0.098540376,0.146095363,0.121761774,0.08208166,0.141370417,0.237795238,0.432516944,0,0.001322422,0.001322422,0.001322422,0.12,0.0886363636363636,0.09,0.0836363636363636,0.0809090909090909,0.121969696969697,0.904
"28",28,"hyper",0.200072298,0.623882435,0.880546718,0.95218599,0.157565085,0.874148377,2.45e-07,0.007434886,0.009086425,0.00997961,0.000985795,0.003422658,0.000585083,0.000511515,0.000210707,0.001902186,-1.08e-07,0.001901884,-1.05e-07,0.032428388,0.058341618,0.121755749,0.122801458,0.097160312,0.195587478,0.190562485,0.43723066,0,0.001322422,0.001322422,0.001322422,0.155,0.106818181818182,0.0890909090909091,0.0863636363636364,0.0863636363636364,0.119393939393939,0.906
"29",29,"hyper",0.203929017,0.698785522,0.94633882,0.911941301,0.225450526,0.868375875,9.44e-07,0.016365447,0.008868622,0.007010149,0.001962568,0.00213437,0.000844552,0.000922696,0.000247449,0.001912196,-9.09e-08,0.001879053,-9.45e-08,0.036304988,0.08563874,0.11107377,0.149390661,0.059192115,0.153060232,0.152529474,0.442968878,0,0.001322422,0.001322422,0.001322422,0.125,0.101136363636364,0.0854545454545454,0.0727272727272727,0.0863636363636364,0.118939393939394,0.896
"30",30,"hyper",0.198410354,0.771052874,0.876969743,0.914702393,0.154770124,0.782717734,9.49e-07,0.009353629,0.002652636,0.002730608,0.001750366,0.003879421,0.000650293,0.000943474,0.000183167,0.00191381,-9.37e-08,0.00191865,-9.12e-08,0.031292866,0.043174133,0.062156749,0.142593876,0.106223635,0.198555507,0.251328757,0.374271968,0,0.001322422,0.001322422,0.001322422,0.115,0.107954545454545,0.0936363636363636,0.0872727272727273,0.0727272727272727,0.126666666666667,0.892
"31",31,"hyper",0.215291847,0.635806535,0.891763928,0.983097571,0.217722842,0.879304579,9.99e-07,0.008625268,0.007594314,0.008958394,0.001363292,0.002541739,0.000840173,0.000929092,0.000170665,0.001883315,-1.04e-07,0.001892818,-1.07e-07,0.030800019,0.094426914,0.138622044,0.137647191,0.14243446,0.157251539,0.264448748,0.423529722,0,0.001322422,0.001322422,0.001322422,0.125,0.103409090909091,0.0836363636363636,0.0845454545454545,0.0772727272727273,0.123484848484848,0.912
"32",32,"hyper",0.198078685,0.607814359,0.875343318,0.949711932,0.168073474,0.847555531,3.17e-07,0.007077404,0.009172549,0.008494912,0.001208855,0.002868721,0.000654789,0.000667775,0.000184556,0.001927549,-9.89e-08,0.001890294,-9.39e-08,0.036909393,0.077166205,0.097390777,0.147207503,0.081562789,0.105481568,0.258013668,0.357322261,0,0.001322422,0.001322422,0.001322422,0.065,0.104545454545455,0.0872727272727273,0.09,0.0772727272727273,0.120909090909091,0.9
"33",33,"hyper",0.205669208,0.605466789,0.857880077,0.9469387,0.209074757,0.822046035,9.63e-07,0.013184987,0.003751266,0.00994502,0.001841267,0.003329476,0.000629371,0.0005608,0.000294615,0.001882801,-1.05e-07,0.001913837,-1.03e-07,0.035925794,0.073107085,0.122627556,0.099733985,0.090348604,0.190803132,0.269971828,0.35184176,0,0.001322422,0.001322422,0.001322422,0.135,0.109090909090909,0.0918181818181818,0.09,0.0681818181818182,0.127575757575758,0.88
"34",34,"hyper",0.214196354,0.591826531,0.893112842,0.927247446,0.157019219,0.84390549,5.97e-07,0.013587384,0.00731123,0.005721764,0.00194411,0.002141002,0.000971109,0.000839897,0.000260429,0.001910857,-9.48e-08,0.001929058,-9.47e-08,0.039902413,0.034954863,0.106373191,0.136005205,0.118977215,0.191951061,0.18420384,0.406298257,0,0.001322422,0.001322422,0.001322422,0.095,0.0806818181818182,0.0954545454545455,0.0927272727272727,0.0727272727272727,0.119242424242424,0.908
"35",35,"hyper",0.201110082,0.584271842,0.941775003,0.953447474,0.164276467,0.842139681,4.45e-07,0.010245438,0.003745837,0.007798097,0.000972224,0.002619261,0.000649047,0.000598771,0.000349039,0.001866281,-1.04e-07,0.00192358,-1.01e-07,0.035375174,0.087994172,0.14979289,0.130803341,0.079907916,0.185468866,0.227223963,0.357777461,0,0.001322422,0.001322422,0.001322422,0.075,0.113636363636364,0.0781818181818182,0.0763636363636364,0.0745454545454545,0.120454545454545,0.884
"36",36,"hyper",0.197590268,0.739385762,0.938786858,0.906400817,0.213472621,0.882137725,1.36e-07,0.015036038,0.009406714,0.003677359,0.001441934,0.002803346,0.000564917,0.000895681,0.000104707,0.001904943,-1.07e-07,0.001944873,-1.01e-07,0.03187819,0.093403921,0.116698274,0.119667829,0.133761257,0.118491656,0.19862319,0.385394132,0,0.001322422,0.001322422,0.001322422,0.085,0.0886363636363636,0.09,0.0827272727272727,0.07,0.118030303030303,0.888
